ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,DayType_Idx
NSLP,VICAGL,2006.2.4,24/05/2006 22:01,68541.471,62899.667,63945.325,59978.355,56634.691,53765.098,51892.971,51104.209,50774.649,51073.15,52822.104,57397.442,60985.028,66567.475,69995.599,75342.4,80935.71,83786.095,85536.117,86445.747,86717.737,86698.257,85908.444,84933.05,83914.637,83333.431,83521.545,83503.026,82883.492,83309.707,83721.904,85052.265,85523.771,86084.712,86503.718,85505.424,83952.074,82367.029,82576.889,85936.462,90825.032,89732.327,85837.771,81841.062,77545.966,74405.292,81554.491,76749.547,6
NSLP,VICAGL,2006.2.5,31/05/2006 22:01,70949.974,65716.148,65933.211,61958.945,57983.573,55066.568,52870.797,51604.528,50829.401,50752.341,50820.073,51525.478,53582.102,56803.331,58999.946,63412.875,68250.498,72169.661,76023.133,77655.587,78960.611,79673.028,80352.845,79930.953,78826.21,78411.494,78119.232,78266.132,78848.446,79888.975,81180.472,83064.899,85115.518,87077.548,89374.3,89317.884,87608.127,87245.88,89063.978,94194.49,98116.223,95591.806,88982.098,80894.401,73181.234,68222.367,75655.427,71483.97,0
NSLP,VICAGL,2006.2.6,31/05/2006 22:01,66152.367,61402.173,62849.575,59143.752,55958.163,53318.562,51894.034,51385.607,52382.935,55384.232,61707.962,69709.616,80096.627,86523.114,84118.797,84215.17,88520.53,90083.899,90882.199,91508.467,92281.097,93998.146,95019.548,94694.492,95317.399,95704.672,96071.311,95697.176,93861.935,94603.761,96558.44,96503.217,96631.629,95069.998,93626.099,91108.259,88576.875,88033.447,91018.793,95863.367,97572.292,93890.979,87475.174,78813.057,71060.022,65869.007,73469.042,69620.251,1
NSLP,VICAGL,2006.2.7,31/05/2006 22:01,64270.968,60030.987,61600.009,58130.645,54463.687,51922.938,50566.597,50612.44,51462.641,54541.169,62256.324,72391.233,85321.621,92169.595,89658.255,87358.878,89583.94,90088.752,92250.211,92191.227,92430.082,92945.242,93011.973,91186.359,90998.632,91140.891,91274.401,91151.46,90573.2,91746.759,92773.184,93374.281,94219.947,93533.407,91503.275,89219.134,86930.018,86466.158,88471.003,94466.083,98254.432,95213.797,88010.027,79451.052,71052.182,65808.386,73788.891,69927.035,2
NSLP,VICAGL,2006.2.8,31/05/2006 22:01,64512.135,60116.03,61530.441,58237.245,54788.422,52590.04,50950.219,50851.68,51862.801,55078.951,62350.95,71097.655,83035.119,89519.478,86623.266,84883.783,88344.126,89829.773,90635.275,92156.382,93026.542,95295.123,97247.869,97951.342,100796.005,103115.199,106006.46,108287.639,110057.553,114120.251,119750.701,123241.441,125849.82,126013.71,125300.115,122726.71,118482.781,115402.92,115783.113,118943.92,119833.815,114390.737,104850.639,94387.925,84105.047,76626.678,82548.58,76556.258,3
NSLP,VICAGL,2006.2.9,31/05/2006 22:01,69825.149,64795.279,66476.593,62728.368,59352.594,56926.863,55816.178,55672.061,56698.114,59139.18,65848.467,76645.86,88555.597,96845.146,96407.491,95919.498,100733.05,99699.191,98661.888,97607.239,96875.948,96891.96,97174.479,96515.121,96199.942,95835.795,96001.622,95723.477,94900.285,94474.76,95889.357,97139.495,100150.052,100484.888,98185.733,97314.671,96381.825,95589.64,96364.243,100198.156,99934.029,96244.41,89023.627,80468.267,71841.59,66839.211,74745.349,71296.221,4
NSLP,VICAGL,2006.2.10,31/05/2006 22:01,65508.707,61010.396,62146.393,58346.42,55052.649,52399.323,50658.529,50464.826,51865.291,55353.35,62085.363,72292.711,84115.589,91570.369,89059.681,87502.688,89849.55,90256.119,90187.41,90624.029,91254.971,91661.712,91474.562,90219.925,89675.743,89253.514,84479.12,83999.215,85318.57,87653.352,82834.48,89260.453,89364.876,89291.665,88230.489,87056.242,85668.571,86295.917,88951.624,94369.011,95711.608,92423.06,88223.754,82409.565,75463.228,70976.145,78813.292,74203.366,5
NSLP,VICAGL,2006.2.11,31/05/2006 22:01,68242.651,62881.076,63646.946,59759.181,55978.167,53332.099,51560.96,50505.992,50241.514,50722.473,52656.111,56269.786,61233.312,67037.534,71218.388,76679.094,82789.671,85217.24,86153.803,86587.773,86458.538,86167.679,85641.502,84547.842,83213.819,82185.157,81066.183,80545.124,79654.746,79533.679,79644.248,81007.463,81687.329,82736.01,83633.535,83161.471,81796.38,81024.937,82621.222,87818.803,90342.773,88928.553,85592.473,80810.083,76384.541,72997.649,81184.789,76836.867,6
NSLP,VICAGL,2006.2.12,07/06/2006 22:01,70867.734,65216.527,65642.23,61597.827,57962.936,54714.997,52547.752,51153.818,50507.861,50374.012,50735.981,51234.107,53902.538,57056.744,59301.128,63834.397,68801.63,72268.294,75996.267,78110.038,79412.918,80211.184,80776.269,81174.587,80595.551,81081.688,82318.087,83242.485,85091.606,87702.142,91090.436,95020.858,97759.457,98863.744,99183.341,97221.897,93519.399,92817.109,95380.684,99812.818,100789.497,96954.297,89903.473,81525.201,74049.464,68780.788,76100.157,71835.861,0
NSLP,VICAGL,2006.2.13,07/06/2006 22:01,66683.456,62619.415,63580.019,59587.335,56141.187,53855.191,52595.978,52248.251,53390.131,55974.114,62447.39,71094.134,82804.375,88276.298,85711.468,84660.503,87914.58,89307.447,90273.297,90498.11,91556.014,92628.672,92704.73,91868.85,91812.002,91983.025,92366.054,92568.628,91781.789,93091.843,94788.968,95554.649,96387.839,95323.041,93688.826,91484.453,88704.968,88149.741,91324.289,99033.305,99910.1,96099.219,88808.947,79899.153,71635.142,66598.469,74338.707,70275.944,1
NSLP,VICAGL,2006.2.14,07/06/2006 22:01,64872.038,60295.013,61794.822,58487.976,54803.814,52519.942,51197.838,51114.705,52145.659,55273.39,62563.607,72342.72,84964.995,91716.462,88688.789,87347.223,90272.831,90891.348,91306.621,92147.65,92660.303,93206.021,93607.579,92771.324,92950.652,93200.359,93580.06,93691.291,93275.569,94418.935,95854.8,96576.327,97247.523,96057.872,93457.134,91348.151,88354.555,87783.469,89892.923,97774.853,99073.632,95684.922,89463.723,80354.684,72302.489,67105.787,74910.745,70869.75,2
NSLP,VICAGL,2006.2.15,07/06/2006 22:01,65432.878,61010.654,62534.621,58976.951,55409.033,52912.194,51690.068,51508.2,52803.154,55919.218,63410.046,73502.968,87178.136,94873.123,92446.491,90742.643,93164.254,93861.521,93695.893,94051.881,94298.799,95560.938,96552.862,96132.318,97067.196,98581.884,100606.583,100684.061,100665.845,102279.109,104599.195,105805.138,105777.881,104546.297,102106.707,99271.028,95028.939,93202.994,96887.235,103478.572,103202.906,99961.163,92660.711,84017.467,75928.483,70509.061,77234.975,72895.017,3
