RMSE,MAPE
0.28136,3.856
0.2827,3.9638
0.28184,3.8079
0.28287,3.8761
0.28269,3.873
0.28334,3.9456
0.2833,3.887
0.28167,3.8843
0.28405,3.9452
0.28245,3.8134
0.28172,3.935
0.28375,3.8723
0.28286,3.9564
0.28357,3.9137
0.28134,3.8122
0.28251,3.94
0.28308,3.9098
0.28269,3.866
0.2847,3.9675
0.28263,3.7998
0.28455,3.9508
0.28285,3.7807
0.28302,3.9024
0.28168,3.8735
0.2822,3.949
0.28207,3.8646
0.28237,3.8697
0.28428,3.9347
0.28267,3.8279
0.28347,3.8371
0.28249,3.9098
0.282,3.9343
0.2806,4.019
0.28289,3.9202
0.28361,3.8637
0.2834,3.8346
0.28198,3.7593
0.28192,3.7812
0.28183,3.9287
0.28446,3.8573
0.28307,3.8153
0.28109,3.9667
0.28176,3.88
0.28217,4.0261
0.2839,3.8322
0.28197,3.8927
0.28378,4.0696
0.28289,3.9167
0.28283,3.9221
0.28358,3.8273
0.28402,3.7964
0.28095,3.9595
0.2841,3.9109
0.28334,3.9317
0.28359,3.937
0.28226,3.9738
0.2833,3.9162
0.28136,3.856
0.28308,3.9085
0.28182,3.7806
0.28306,3.8779
0.28201,4.0963
0.28346,4.0394
0.28231,3.8659
0.28509,3.8388
0.28281,4.0403
0.28362,3.8094
0.28144,3.8151
0.28214,3.8708
0.28268,3.8715
0.2835,3.8375
0.28387,4.0389
0.28248,3.8952
0.28221,3.9484
0.28344,4.0044
0.28231,3.8826
0.28264,3.8358
0.28191,3.8362
0.28354,3.8761
0.28212,3.9099
0.28229,4.0115
0.28149,3.8544
0.282,3.8455
0.28073,4.0189
0.28128,3.7961
0.28151,3.9813
0.28402,3.8987
0.2835,3.8963
0.28127,3.8824
0.28304,3.8721
0.28364,3.8469
0.28365,3.9914
0.28239,3.8354
0.28183,3.8004
0.2851,3.9582
0.2819,3.9582
0.28257,4.0828
0.28514,3.8362
0.28213,3.8995
0.28161,3.8565
0.28171,3.9073
0.28307,3.892
0.28447,4.0473
0.28039,3.8743
0.28238,4.0154
0.28297,3.9189
0.28105,3.8487
0.28189,3.9779
0.2831,3.8007
0.2815,3.8035
0.28243,3.8696
0.28448,3.9938
0.28215,3.7799
0.28392,3.9929
0.28406,4.0129
0.28178,3.8527
0.28388,3.8826
0.28356,3.9056
0.28504,4.0753
0.28352,3.9603
0.2849,4.0146
0.2861,3.8579
0.28313,3.905
0.28095,3.7655
0.28107,3.9372
0.2816,3.8789
0.283,3.9784
0.28248,3.9158
0.28351,3.9546
0.28188,3.8475
0.28337,3.9387
0.28171,4.0023
0.28292,3.902
0.28214,3.9306
0.28267,3.9117
0.28089,3.8305
0.28111,3.9503
0.28414,4.0499
0.28113,3.9613
0.28342,3.9891
0.28297,3.791
0.28206,3.7392
0.27984,3.7599
0.28249,3.9291
0.28205,3.9294
0.28145,3.7916
0.28343,3.9627
0.28263,3.8376
0.28259,3.9181
0.28159,3.8264
0.28369,3.8964
0.28334,3.9917
0.28256,3.8622
0.28304,3.895
0.28173,3.9313
0.28121,3.8719
0.28363,3.7959
0.28369,3.8507
0.28139,4.0155
0.28436,3.9821
0.28415,3.7652
0.28281,3.93
0.28072,3.8591
0.28367,3.9266
0.28163,3.9477
0.28163,3.8791
0.28421,3.9195
0.28325,4.0173
0.28487,3.9171
0.28166,3.9618
0.28223,3.7393
0.28203,3.9334
0.28414,3.8792
0.28315,3.787
0.28236,3.8703
0.28218,3.8933
0.28343,3.9517
0.28152,3.8393
0.28265,3.8497
0.282,3.8171
0.28215,3.8842
0.28329,3.8986
0.28177,3.9213
0.28312,3.9463
0.2806,3.9096
0.28272,3.9084
0.28259,3.8461
0.28209,3.9235
0.28398,3.9033
0.28372,4.006
0.28122,3.9802
0.28222,3.897
0.28362,3.8167
0.28381,3.8799
0.2818,3.9444
0.28268,3.7352
0.28188,3.9369
0.28286,3.7016
0.28245,3.9746
0.28132,3.8872
0.28304,4.0163
0.28075,3.9264
0.28383,3.8531
0.28122,3.8348
0.28282,3.9049
0.28155,3.9307
0.28358,3.7889
0.28123,3.8923
0.28193,3.9083
0.28295,3.8778
0.28226,3.9142
0.2827,3.979
0.2821,3.9267
0.28276,3.8357
0.28309,3.7499
0.28083,3.7857
0.28273,3.8902
0.28275,3.9509
0.28329,3.914
0.28316,3.9601
0.28381,3.9817
0.28274,3.8965
0.28374,3.9934
0.28162,4.016
0.28203,3.9214
0.28313,3.9733
0.28206,3.7934
0.28174,4.025
0.28147,3.8991
0.2829,3.8951
0.28307,3.8981
0.28339,3.8556
0.281,4.0338
0.28407,3.8346
0.281,3.8711
0.2831,3.9396
0.28133,3.8517
0.28442,3.9075
0.2825,3.9277
0.28437,3.911
0.28186,4.0084
0.281,3.8198
0.27992,3.8526
0.28253,3.7673
0.28182,3.9715
0.28054,3.9162
0.28179,3.954
0.28239,4.0338
0.28379,4.004
0.28128,3.8816
0.28374,3.9493
0.28054,3.8129
0.28152,3.7627
0.28179,3.9128
0.28094,3.9105
0.28344,3.9254
0.28321,3.8926
0.28289,3.7756
0.28223,3.9053
0.28266,3.9717
0.2827,3.8981
0.28404,4.0084
0.28388,3.9635
0.28554,3.9451
0.28134,3.9171
0.28624,3.9267
0.28254,3.9077
0.28325,3.8912
0.28344,3.9847
0.2836,3.7825
0.28263,3.936
0.28084,3.8403
0.28316,4.0249
0.28623,3.8364
0.28177,3.8829
0.28308,3.9434
0.28185,3.7692
0.28338,4.0031
0.28177,3.9794
0.28152,3.8435
0.2845,3.8956
0.28511,3.928
0.2841,3.8721
0.28189,3.8727
0.28221,3.876
0.28494,3.9274
0.28183,3.9485
0.28324,3.888
0.28045,3.8668
0.2813,3.9462
0.28349,3.9576
0.27995,3.9451
0.28436,3.9451
0.28361,3.8987
0.28211,3.8963
0.28373,4.0242
0.28369,3.9924
0.28202,3.8057
0.28215,3.9592
0.28356,3.999
0.28221,3.9386
0.2814,3.8884
0.28265,3.9585
0.28289,3.9935
0.28201,3.9123
0.28429,3.9339
0.28195,3.8067
0.28308,3.8486
0.28336,3.8949
0.28324,3.8723
0.28321,3.9387
0.28446,4.0054
0.28475,3.8092
0.28382,3.9153
0.28255,3.9978
0.28114,3.8352
0.2815,3.796
0.28209,3.8174
0.28046,3.8494
0.283,3.7001
0.28248,3.918
0.28277,3.9972
0.28121,3.9264
