Training,Testing
0.062515,0.080755
0.063025,0.081706
0.062809,0.082227
0.062399,0.082203
0.062614,0.081511
0.062598,0.080479
0.062664,0.08244
0.062737,0.079403
0.062395,0.082343
0.062882,0.081046
0.062631,0.080731
0.062646,0.08163
0.062515,0.081475
0.062551,0.084887
0.062951,0.081046
0.062628,0.081095
0.062904,0.082654
0.062688,0.081253
0.061947,0.082658
0.062963,0.083397
0.062519,0.082374
0.062782,0.082621
0.062549,0.079424
0.063154,0.081594
0.062719,0.082207
0.063107,0.081685
0.062777,0.080254
0.063137,0.082282
0.062896,0.081781
0.062425,0.085763
0.062587,0.082755
0.06284,0.081384
0.062557,0.081031
0.062858,0.08281
0.062517,0.08222
0.062271,0.082092
0.062953,0.080603
0.062747,0.082412
0.062611,0.082359
0.062575,0.081308
0.062933,0.080691
0.062623,0.083056
0.062865,0.082166
0.062915,0.080262
0.062622,0.081633
0.062845,0.081763
0.062994,0.083268
0.062966,0.082789
0.062681,0.081967
0.062527,0.080319
0.062707,0.082106
0.062918,0.08102
0.062694,0.084009
0.062735,0.082243
0.063156,0.081877
0.063139,0.082564
0.062959,0.08308
0.062865,0.081654
0.062839,0.082368
0.062723,0.083916
0.063268,0.081631
0.062287,0.084087
0.062979,0.083242
0.062866,0.080772
0.06273,0.080953
0.062932,0.083313
0.062379,0.083831
0.062789,0.083884
0.062551,0.081315
0.062322,0.080586
0.062678,0.082092
0.062892,0.081999
0.062933,0.081862
0.062492,0.082783
0.063152,0.08271
0.062774,0.080543
0.063621,0.080844
0.0627,0.080012
0.062423,0.082435
0.063117,0.081093
0.06295,0.083735
0.062911,0.085068
0.062857,0.081838
0.062379,0.079904
0.062781,0.080494
0.062436,0.082621
0.062848,0.081082
0.062623,0.083102
0.0629,0.081709
0.062435,0.081468
0.063125,0.085077
0.063078,0.082474
0.062461,0.081303
0.062919,0.080996
0.062949,0.082969
0.062875,0.081326
0.062967,0.083389
0.062967,0.081264
0.06276,0.082176
0.062282,0.080339
0.062846,0.080868
0.062931,0.081084
0.062634,0.080185
0.063091,0.084623
0.062312,0.082252
0.063258,0.082523
0.062983,0.084806
0.062945,0.081178
0.062636,0.083417
0.062765,0.083555
0.062742,0.080184
0.062532,0.08234
0.062893,0.081717
0.062222,0.082608
0.062593,0.081319
0.062873,0.081877
0.063043,0.081636
0.062852,0.082302
0.062558,0.080996
