ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,Locked
NSLP,ACTEWAGL,31/01/2009,29/05/2009 22:00,59651.792,55089.295,52052.812,49969.783,48449.548,47266.559,46486.737,45318.364,45292.055,45352.578,43456.379,47529.676,52370.731,57170.302,63300.049,71001.247,78746.841,85582.18,93587.824,98355.628,106420.362,112125.132,114754.778,119046.919,124226.41,126715.703,128705.233,131075.058,133412.218,135400.749,137167.144,139120.492,141082.955,143034.344,143318.004,142061.033,138649.938,133928.409,128721.006,125556.688,121269.621,115042.567,107946.045,99659.008,99876.981,93909.255,82619.139,70449.98,Y
NSLP,ACTEWAGL,01/02/2009,04/06/2009 22:00,63775.389,58737.786,55907.815,53523.917,51387.485,49756.941,48704.534,47818.161,47240.704,47110.763,44555.477,47334.968,51584.633,55685.189,61617.96,69165.238,77623.482,84699.692,93975.901,99918.385,108753.05,113388.903,114738.486,116612.74,119949.208,119881.56,120557.529,122433.708,123236.499,125450.359,125905.383,126934.062,129117.23,131094.624,130078.282,126171.048,119584.591,112814.489,108044.545,104779.471,98889.529,92222.929,84530.571,77134.077,79167.047,76706.93,67595.137,55997.124,Y
NSLP,ACTEWAGL,02/02/2009,04/06/2009 22:00,49236.747,45512.263,43620.39,42874.251,41947.487,41492.204,40905.799,40762.028,41981.875,44600.202,49718.221,59878.331,72698.149,76710.921,77154.379,76484.017,78846.058,80717.732,86012.745,88557.022,94477.418,98549.064,99848.167,102952.052,107643.947,109985.255,113150.817,115848.744,119600.57,125068.699,130032.902,134938.423,139422.174,143406.756,144493.639,144556.566,138883.199,129014.361,121766.325,116143.816,109329.055,99297.542,88796.652,79359.966,79326.48,75133.151,66262.52,55307.619,Y
NSLP,ACTEWAGL,03/02/2009,04/06/2009 22:00,49672.423,47602.711,45948.773,45189.676,44449.246,43732.463,43271.945,43031.936,44557.044,46693.226,51994.481,62998.808,75619.067,80382.947,80153.698,78616.839,81052.256,84715.03,91310.852,94181.506,101263.653,105628.19,106717.453,109585.839,112826.926,112671.555,112540.59,111195.368,109803.513,109135.322,108802.384,106623.147,103944.349,102297.753,100511.631,98367.337,95061.388,91683.469,90775.948,88310.801,84663.47,80208.131,74695.397,68034.369,70122.235,68287.035,59921.855,49907.26,Y
NSLP,ACTEWAGL,04/02/2009,04/06/2009 22:00,44367.343,41751.994,40522.352,39940.851,39635.532,39123.767,38777.163,39198.23,40671.076,43724.319,50125.778,60781.526,74611.434,79066.825,76720.207,73228.162,73110.504,74464.928,79142.319,81283.099,87604.614,90965.732,91347.55,93477.496,96878.895,97823.25,100149.18,104410.834,106906.228,113637.292,118414.312,123849.507,128165.184,131341.432,132332.667,133660.602,131080.512,123827.933,118804.477,115690.871,111152.343,102911.669,92638.568,82445.787,82249.993,78336.85,68113.332,57197.412,Y
NSLP,ACTEWAGL,05/02/2009,04/06/2009 22:00,51305.731,48443.344,46260.825,45381.939,44801.993,44035.741,43493.659,43274.722,44621.648,46968.345,52488.799,63430.586,76653.807,81422.04,80818.674,80712.645,82814.645,85950.236,92280.531,95926.6,103556.912,108102.243,110366.611,114365.703,118954.543,120688.84,123213.789,125115.09,127899.275,134448.928,140481.881,144513.975,148007.657,151477.737,153465.522,154556.528,151644.488,147419.649,144925.568,142437.941,135914.751,125371.073,113564.163,99366.149,95228.298,89068.478,77499.729,66060.496,Y
NSLP,ACTEWAGL,06/02/2009,04/06/2009 22:00,59558.688,56527.544,54767.8,53219.87,51913.565,50623.402,49908.87,49445.722,50101.449,52035.248,57328.148,66747.236,80309.981,85756.176,87134.351,87821.835,90751.149,94498.451,100540.461,104403.738,111748.81,116737.524,118816.033,122563.78,128210.839,130367.486,133274.621,135410.848,137490.248,142636.57,148333.267,151823.484,153967.278,156656.343,155669.745,155018.282,151350.714,147411.371,144541.532,142399.745,138737.17,133153.598,124338.461,114555.885,112185.362,104762.754,92372.91,79958.512,Y
NSLP,ACTEWAGL,07/02/2009,04/06/2009 22:00,72544.884,68860.101,65908.079,62936.819,60810.939,59143.342,57441.885,56211.464,55828.544,55464.179,54481.941,56435.284,63188.907,68819.296,77315.568,86918.901,96515.779,104510.354,114505.519,120530.272,128799.755,134979.262,136828.735,140249.062,143603.548,143551.528,144588.049,146077.876,146543.237,147480.607,148463.93,149575.239,150112.697,150439.421,149917.995,148913.844,145244.745,141388.159,139279.005,137563.613,133593.19,127117.273,120905.297,112747.417,111625.797,104982.342,93499.564,80754.477,Y
NSLP,ACTEWAGL,08/02/2009,17/06/2009 22:01,73670.983,68986.031,65383.921,63028.253,61745.325,59299.08,57729.99,56849.978,55291.069,55086.842,53553.616,53216.108,58819.319,63437.473,70858.497,80532.243,90666.684,100405.378,112131.819,119458.937,128903.568,134565.282,137600.414,140939.818,144591.265,144803.236,145779.02,147579.539,149028.902,150782.18,151700.236,152820.586,155040.372,158199.875,158943.063,159607.05,156666.464,152869.773,147195.032,139325.598,128660.813,116876.746,103962.795,90575.005,87765.469,82934.917,72407.172,61445.271,Y
NSLP,ACTEWAGL,09/02/2009,17/06/2009 22:01,55219.516,51894.932,49783.647,48120.49,47188.787,46246.819,45521.477,45275.844,46178.18,48680.748,54754.554,63592.78,76983.585,81077.245,78986.786,75477.152,74211.738,73701.828,76434.396,76116.193,80452.47,80813.301,79005.97,79471.384,81451.377,79052.635,79046.177,80056.106,81686.204,84671.048,87693.52,89838.875,91727.654,93635.539,92898.876,91387.067,86656.99,83806.036,87320.046,83527.343,78403.853,73695.834,68547.387,63420.869,66459.718,64792.721,56700.63,46469.915,Y
